multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
450248,68135,M19,301,M,Vivien of the Arkbow,{4}{G}{G},6.0,Legendary Planeswalker — Vivien,Magali Villeneuve,,5.83,4.53,,https://img.scryfall.com/cards/large/en/m19/301.jpg?1531452081,https://scryfall.com/card/m19/301/vivien-of-the-arkbow
457349,71410,RNA,205,M,Seraph of the Scales,{2}{W}{B},4.0,Creature — Angel,Magali Villeneuve,5.72,13.83,5.53,6.08,https://img.scryfall.com/cards/large/front/d/6/d602e9e6-31ed-4d17-b39c-457b3b182943.jpg?1549414957,https://scryfall.com/card/rna/205/seraph-of-the-scales
452974,69837,GRN,224,R,Expansion // Explosion,{U/R}{U/R} // {X}{U}{U}{R}{R},6.0,Instant // Instant,Deruchenko Alexander,5.57,6.92,1.91,0.37,https://img.scryfall.com/cards/large/front/e/0/e0644c92-4d67-475e-8c8e-0e2c493682fb.jpg?1539735496,https://scryfall.com/card/grn/224/expansion-explosion
461054,71860,WAR,127,M,Finale of Promise,{X}{R}{R},2.0,Sorcery,Jaime Jones,5.54,20.88,3.75,4.78,https://img.scryfall.com/cards/large/front/8/1/811b2dda-e1b7-4a46-83cc-5cdc17554836.jpg?1555740881,https://scryfall.com/card/war/127/finale-of-promise
463832,72172,WAR,265,M,"Gideon, the Oathsworn",{4}{W}{W},6.0,Legendary Planeswalker — Gideon,Kieran Yanner,,5.42,,,https://img.scryfall.com/cards/large/front/4/3/43e7331d-98b8-420f-a346-3f3521c3b258.jpg?1555741614,https://scryfall.com/card/war/265/gideon-the-oathsworn
452955,69783,GRN,205,R,Thief of Sanity,{1}{U}{B},3.0,Creature — Specter,Igor Kieryluk,5.4,9.84,3.42,2.68,https://img.scryfall.com/cards/large/front/3/0/307543ca-8e17-433f-9758-4c77da6c0870.jpg?1539553976,https://scryfall.com/card/grn/205/thief-of-sanity
439821,66781,RIX,162,M,"Kumena, Tyrant of Orazca",{1}{G}{U},3.0,Legendary Creature — Merfolk Shaman,Tyler Jacobson,5.39,10.98,5.45,0.28,https://img.scryfall.com/cards/large/front/a/3/a3aef818-c896-46e6-aaff-56aee52a066c.jpg?1555040871,https://scryfall.com/card/rix/162/kumena-tyrant-of-orazca
435410,65528,XLN,250,R,Treasure Map // Treasure Cove,{2},2.0,Artifact // Land,Cliff Childs,5.38,9.73,4.71,0.14,https://img.scryfall.com/cards/large/en/xln/250a.jpg?1527431365,https://scryfall.com/card/xln/250/treasure-map-treasure-cove
420864,,C16,247,R,Chromatic Lantern,{3},3.0,Artifact,Jung Park,5.36,,2.67,,https://img.scryfall.com/cards/large/en/c16/247.jpg?1517813031,https://scryfall.com/card/c16/247/chromatic-lantern
253681,46501,RTR,248,R,Temple Garden,"",0.0,Land — Forest Plains,Volkan Baǵa,5.35,14.26,4.32,0.4,https://img.scryfall.com/cards/large/en/rtr/248.jpg?1535415850,https://scryfall.com/card/rtr/248/temple-garden
