multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
456600,70081,UMA,4,M,"Emrakul, the Aeons Torn",{15},15.0,Creature,Mark Tedin,24.94,28.17,20.33,,https://img.scryfall.com/cards/large/front/0/e/0e0d989d-7186-40dc-bdfe-cfbb77656bc8.jpg?1547515266,https://scryfall.com/card/uma/4/emrakul-the-aeons-torn
414295,61068,EMN,6,M,"Emrakul, the Promised End",{13},13.0,Creature,Jaime Jones,24.5,50.44,14.39,0.91,https://img.scryfall.com/cards/large/en/emn/6.jpg?1517813031,https://scryfall.com/card/emn/6/emrakul-the-promised-end
461134,72020,WAR,207,M,"Nicol Bolas, Dragon-God",{U}{B}{B}{B}{R},5.0,Planeswalker,Raymond Swanland,24.25,63.0,15.27,4.87,https://img.scryfall.com/cards/large/front/9/8/98b68dea-a7be-4f99-8a50-4c8cf0e0f7a9.jpg?1555741310,https://scryfall.com/card/war/207/nicol-bolas-dragon-god
30008,19761,MRD,204,R,Mesmeric Orb,{2},2.0,Artifact,David Martin,23.97,46.62,11.01,0.59,https://img.scryfall.com/cards/large/en/mrd/204.jpg?1517813031,https://scryfall.com/card/mrd/204/mesmeric-orb
397793,57046,MM2,43,R,Cryptic Command,{1}{U}{U}{U},4.0,Instant,Wayne England,23.92,28.68,20.33,10.13,https://img.scryfall.com/cards/large/en/mm2/43.jpg?1517813031,https://scryfall.com/card/mm2/43/cryptic-command
214044,39315,MBS,46,M,Massacre Wurm,{3}{B}{B}{B},6.0,Creature,Jason Chan,23.47,38.43,15.06,0.66,https://img.scryfall.com/cards/large/en/mbs/46.jpg?1517813031,https://scryfall.com/card/mbs/46/massacre-wurm
151989,29591,SHM,126,R,Prismatic Omen,{1}{G},2.0,Enchantment,John Avon,23.4,68.89,10.99,0.53,https://img.scryfall.com/cards/large/en/shm/126.jpg?1517813031,https://scryfall.com/card/shm/126/prismatic-omen
180587,32356,ARB,117,M,"Karrthus, Tyrant of Jund",{4}{B}{R}{G},7.0,Creature,Dave Kendall,23.14,49.23,13.19,0.08,https://img.scryfall.com/cards/large/en/arb/117.jpg?1517813031,https://scryfall.com/card/arb/117/karrthus-tyrant-of-jund
439844,66827,RIX,180,M,The Immortal Sun,{6},6.0,Artifact,Kieran Yanner,22.28,42.25,16.25,2.51,https://img.scryfall.com/cards/large/front/a/d/adeccd88-8dc0-4cc1-943f-27d540d248bb.jpg?1555041035,https://scryfall.com/card/rix/180/the-immortal-sun
209408,38301,SOM,225,R,Copperline Gorge,"",0.0,Land,Zoltan Boros & Gabor Szikszai,22.2,28.93,13.35,0.81,https://img.scryfall.com/cards/large/en/som/225.jpg?1517813031,https://scryfall.com/card/som/225/copperline-gorge
204993,37344,M11,21,R,Leyline of Sanctity,{2}{W}{W},4.0,Enchantment,Ryan Pancoast,21.94,51.42,18.65,8.18,https://img.scryfall.com/cards/large/en/m11/21.jpg?1517813031,https://scryfall.com/card/m11/21/leyline-of-sanctity
397815,57206,MM2,6,M,"Ulamog, the Infinite Gyre",{11},11.0,Creature,Aleksi Briclot,21.93,33.12,12.84,1.85,https://img.scryfall.com/cards/large/en/mm2/6.jpg?1517813031,https://scryfall.com/card/mm2/6/ulamog-the-infinite-gyre
74206,22044,SOK,164,R,"Oboro, Palace in the Clouds","",0.0,Land,Rob Alexander,21.9,110.35,10.73,0.67,https://img.scryfall.com/cards/large/en/sok/164.jpg?1517813031,https://scryfall.com/card/sok/164/oboro-palace-in-the-clouds
205008,37368,M11,61,R,Leyline of Anticipation,{2}{U}{U},4.0,Enchantment,Charles Urbach,21.63,36.43,10.49,0.2,https://img.scryfall.com/cards/large/en/m11/61.jpg?1517813031,https://scryfall.com/card/m11/61/leyline-of-anticipation
